time,value
1965.66666666724,317.66
1965.75000000058,317.14
1965.8333333339199,318.7
1965.9166666672602,319.25
1966.0000000006,320.46
1966.08333333394,321.43
1966.16666666728,322.23
1966.2500000006198,323.54
1966.3333333339604,323.91
1966.4166666673002,323.59
1966.50000000064,322.24
1966.5833333339801,320.2
1966.66666666732,318.48
1966.75000000066,317.94
1966.833333334,319.63
1966.9166666673398,320.87
1967.0000000006896,322.17
1967.0833333340302,322.34
1967.16666666737,322.88
1967.25000000071,324.25
1967.33333333405,324.83
1967.4166666673898,323.93
1967.5000000007299,322.38
1967.5833333340697,320.76
1967.6666666674103,319.1
1967.75000000075,319.24
1967.83333333409,320.56
1967.91666666743,321.8
1968.00000000077,322.4
1968.0833333341102,322.99
1968.16666666745,323.73
1968.25000000079,324.86
1968.33333333413,325.4
1968.4166666674698,325.2
1968.5000000008101,323.98
1968.58333333415,321.95
1968.6666666674898,320.18
1968.75000000084,320.09
1968.83333333418,321.16
1968.9166666675198,322.74
1969.0000000008604,323.83
1969.0833333342002,324.26
1969.16666666754,325.47
1969.2500000008802,326.5
1969.33333333422,327.21
1969.41666666756,326.54
1969.5000000009,325.72
1969.5833333342398,323.5
1969.6666666675799,322.22
1969.7500000009197,321.62
1969.8333333342603,322.69
1969.9166666676,323.95
1970.00000000094,324.89
1970.08333333428,325.82
1970.16666666762,326.77
1970.25000000096,327.97
1970.3333333342998,327.91
1970.4166666676397,327.5
1970.5000000009802,326.18
1970.58333333433,324.53
1970.66666666767,322.93
1970.7500000010102,322.9
1970.83333333435,323.85
1970.91666666769,324.96
1971.00000000103,326.01
1971.0833333343699,326.51
1971.1666666677102,327.01
1971.25000000105,327.62
1971.3333333343899,328.76
1971.4166666677302,328.4
1971.50000000107,327.2
1971.58333333441,325.27
1971.66666666775,323.2
1971.7500000010898,323.4
1971.8333333344299,324.63
1971.9166666677697,325.85
1972.0000000011103,326.6
1972.0833333344501,327.47
1972.16666666779,327.58
1972.25000000113,329.56
1972.33333333448,329.9
1972.4166666678198,328.92
1972.5000000011603,327.88
1972.5833333345001,326.16
1972.66666666784,324.68
1972.75000000118,325.04
1972.83333333452,326.34
1972.91666666786,327.39
1973.0000000011999,328.37
1973.0833333345397,329.4
1973.16666666788,330.14
1973.2500000012199,331.33
1973.3333333345602,332.31
1973.4166666679,331.9
1973.5000000012399,330.7
1973.5833333345802,329.15
1973.66666666792,327.35
1973.75000000126,327.02
1973.8333333346,327.99
1973.9166666679398,328.48
1974.0000000012801,329.18
1974.0833333346302,330.55
1974.16666666797,331.32
1974.2500000013101,332.48
1974.33333333465,332.92
1974.4166666679898,332.08
1974.50000000133,331.01
1974.5833333346698,329.23
1974.6666666680103,327.27
1974.7500000013501,327.21
1974.83333333469,328.29
1974.91666666803,329.41
1975.00000000137,330.23
1975.08333333471,331.25
1975.1666666680499,331.87
1975.2500000013897,333.14
1975.3333333347302,333.8
1975.41666666807,333.43
1975.5000000014102,331.73
1975.58333333475,329.9
1975.6666666680899,328.4
1975.75000000143,328.17
1975.83333333478,329.32
1975.91666666812,330.59
1976.0000000014602,331.58
1976.0833333348,332.39
1976.16666666814,333.33
1976.2500000014802,334.41
1976.33333333482,334.71
1976.4166666681601,334.17
1976.5000000015,332.89
1976.5833333348398,330.77
1976.66666666818,329.14
1976.7500000015198,328.78
1976.8333333348603,330.14
1976.9166666682002,331.52
1977.00000000154,332.75
1977.08333333488,333.24
1977.16666666822,334.53
1977.25000000156,335.9
1977.3333333348999,336.57
1977.4166666682397,336.1
1977.5000000015802,334.76
1977.58333333493,332.59
1977.66666666827,331.42
1977.75000000161,330.98
1977.8333333349499,332.24
1977.9166666682897,333.68
1978.00000000163,334.8
1978.08333333497,335.22
1978.1666666683102,336.47
1978.25000000165,337.59
1978.33333333499,337.84
1978.41666666833,337.72
1978.5000000016698,336.37
1978.5833333350101,334.51
1978.66666666835,332.6
1978.7500000016898,332.38
1978.8333333350301,333.75
1978.91666666837,334.78
1979.0000000017103,336.05
1979.0833333350502,336.59
1979.1666666683898,337.79
1979.25000000173,338.71
1979.33333333507,339.3
1979.4166666684198,339.12
1979.5000000017603,337.56
1979.5833333351002,335.92
1979.66666666844,333.75
1979.75000000178,333.7
1979.83333333512,335.12
1979.91666666846,336.56
1980.0000000018,337.84
1980.0833333351397,338.19
1980.1666666684803,339.91
1980.2500000018201,340.6
1980.3333333351602,341.29
1980.4166666685,341.0
1980.50000000184,339.39
1980.58333333518,337.43
1980.6666666685198,335.72
1980.7500000018601,335.84
1980.8333333352,336.93
1980.9166666685398,338.04
1981.0000000018802,339.06
1981.08333333522,340.3
1981.1666666685699,341.21
1981.2500000019102,342.33
1981.33333333525,342.74
1981.4166666685899,342.08
1981.50000000193,340.32
1981.5833333352698,338.26
1981.6666666686103,336.52
1981.7500000019502,336.68
1981.8333333352898,338.19
1981.9166666686301,339.44
1982.00000000197,340.57
1982.08333333531,341.44
1982.16666666865,342.53
1982.2500000019897,343.39
1982.3333333353303,343.96
1982.4166666686701,343.18
1982.5000000020102,341.88
1982.58333333535,339.65
1982.66666666869,337.81
1982.75000000203,337.69
1982.8333333353698,339.09
1982.9166666687197,340.32
1983.0000000020602,341.2
1983.0833333354,342.35
1983.16666666874,342.93
1983.25000000208,344.77
1983.3333333354199,345.58
1983.4166666687602,345.14
1983.5000000021,343.81
1983.5833333354396,342.21
1983.6666666687802,339.69
1983.75000000212,339.82
1983.83333333546,340.98
1983.9166666688,342.82
1984.0000000021398,343.52
1984.0833333354801,344.33
1984.16666666882,345.11
1984.25000000216,346.88
1984.3333333355,347.25
1984.4166666688398,346.62
1984.5000000021803,345.22
1984.58333333552,343.11
1984.66666666887,340.9
1984.75000000221,341.18
1984.83333333555,342.8
1984.9166666688898,344.04
1985.0000000022303,344.79
1985.0833333355702,345.82
1985.1666666689102,347.25
1985.25000000225,348.17
1985.33333333559,348.74
1985.41666666893,348.07
1985.5000000022699,346.38
1985.58333333561,344.51
1985.6666666689498,342.92
1985.7500000022897,342.62
1985.8333333356302,344.06
1985.91666666897,345.38
1986.0000000023101,346.11
1986.08333333565,346.78
1986.1666666689898,347.68
1986.2500000023301,349.37
1986.3333333356697,350.03
1986.4166666690198,349.37
1986.5000000023601,347.76
1986.5833333357,345.73
1986.6666666690398,344.68
1986.7500000023801,343.99
1986.83333333572,345.48
1986.91666666906,346.72
1987.0000000024,347.84
1987.0833333357398,348.29
1987.16666666908,349.23
1987.25000000242,350.8
1987.3333333357602,351.66
1987.4166666691,351.07
1987.50000000244,349.33
1987.58333333578,347.92
1987.6666666691199,346.27
1987.75000000246,346.18
1987.8333333357998,347.64
1987.9166666691397,348.78
1988.0000000024802,350.25
1988.08333333582,351.54
1988.1666666691601,352.05
1988.25000000251,353.41
1988.3333333358498,354.04
1988.4166666691897,353.62
1988.5000000025302,352.22
1988.58333333587,350.27
1988.6666666692101,348.55
1988.75000000255,348.72
1988.8333333358898,349.91
1988.9166666692302,351.18
1989.0000000025698,352.6
1989.08333333591,352.92
1989.16666666925,353.53
1989.2500000025898,355.26
1989.33333333593,355.52
1989.41666666927,354.97
1989.5000000026102,353.75
1989.58333333595,351.52
1989.66666666929,349.64
1989.75000000263,349.83
1989.8333333359699,351.14
1989.9166666693104,352.37
1990.0000000026603,353.5
1990.0833333360001,354.55
1990.16666666934,355.23
1990.25000000268,356.04
1990.33333333602,357.0
1990.41666666936,356.07
1990.5000000026998,354.67
1990.5833333360397,352.76
1990.6666666693802,350.82
1990.75000000272,351.04
1990.8333333360602,352.69
1990.9166666694,354.07
1991.0000000027399,354.59
1991.08333333608,355.63
1991.1666666694198,357.03
1991.25000000276,358.48
1991.3333333361,359.22
1991.4166666694398,358.12
1991.50000000278,356.06
1991.58333333612,353.92
1991.6666666694603,352.05
1991.75000000281,352.11
1991.83333333615,353.64
1991.9166666694898,354.89
1992.0000000028301,355.88
1992.08333333617,356.63
1992.1666666695103,357.72
1992.2500000028501,359.07
1992.33333333619,359.58
1992.41666666953,359.17
1992.50000000287,356.94
1992.58333333621,354.92
1992.6666666695498,352.94
1992.7500000028897,353.23
1992.8333333362302,354.09
1992.91666666957,355.33
1993.0000000029102,356.63
1993.08333333625,357.1
1993.1666666695899,358.32
1993.25000000293,359.41
1993.3333333362698,360.23
1993.4166666696103,359.55
1993.5000000029602,357.53
1993.5833333363,355.48
1993.6666666696399,353.67
1993.75000000298,353.95
1993.8333333363198,355.3
1993.9166666696601,356.78
1994.000000003,358.34
1994.0833333363398,358.89
1994.1666666696801,359.95
1994.25000000302,361.25
1994.33333333636,361.67
1994.4166666697,360.94
1994.5000000030398,359.55
1994.58333333638,357.49
1994.66666666972,355.84
1994.7500000030602,356.0
1994.8333333364,357.59
1994.91666666974,359.05
1995.0000000030802,359.98
1995.08333333642,361.03
1995.1666666697602,361.66
1995.25000000311,363.48
1995.3333333364499,363.82
1995.4166666697897,363.3
1995.5000000031303,361.94
1995.58333333647,359.5
1995.6666666698102,358.11
1995.75000000315,357.8
1995.8333333364899,359.61
1995.91666666983,360.74
1996.0000000031698,362.09
1996.0833333365101,363.29
1996.1666666698497,364.06
1996.2500000031896,364.76
1996.3333333365301,365.45
1996.41666666987,365.01
1996.50000000321,363.7
1996.58333333655,361.54
1996.6666666698898,359.51
1996.75000000323,359.65
1996.83333333657,360.8
1996.9166666699102,362.38
1997.00000000325,363.23
1997.0833333366,364.06
1997.1666666699398,364.61
1997.25000000328,366.4
1997.33333333662,366.84
1997.41666666996,365.68
1997.5000000032999,364.52
1997.5833333366397,362.57
1997.6666666699803,360.24
1997.75000000332,360.83
1997.8333333366602,362.49
1997.91666667,364.34
