x,date
1023.7,1978-10-01
898.6,1978-11-01
760.3,1978-12-01
774.1,1979-01-01
831.6,1979-02-01
1103.8,1979-03-01
976.3,1979-04-01
1042.4,1979-05-01
894.5,1979-06-01
876.2,1979-07-01
908.2,1979-08-01
766.8,1979-09-01
891.5,1979-10-01
767.7,1979-11-01
725.7,1979-12-01
805.8,1980-01-01
811.6,1980-02-01
895.2,1980-03-01
743.3,1980-04-01
696.7,1980-05-01
701.9,1980-06-01
772.6,1980-07-01
685.5,1980-08-01
674.1,1980-09-01
847.5,1980-10-01
698.2,1980-11-01
649.4,1980-12-01
647.5,1981-01-01
764.0,1981-02-01
962.7,1981-03-01
751.3,1981-04-01
733.6,1981-05-01
723.8,1981-06-01
706.8,1981-07-01
801.1,1981-08-01
687.2,1981-09-01
648.8,1981-10-01
584.6,1981-11-01
522.9,1981-12-01
534.7,1982-01-01
632.5,1982-02-01
777.0,1982-03-01
668.9,1982-04-01
774.3,1982-05-01
651.0,1982-06-01
629.5,1982-07-01
608.9,1982-08-01
671.2,1982-09-01
656.0,1982-10-01
743.4,1982-11-01
632.0,1982-12-01
595.8,1983-01-01
627.8,1983-02-01
821.4,1983-03-01
761.9,1983-04-01
836.6,1983-05-01
903.8,1983-06-01
791.6,1983-07-01
740.7,1983-08-01
704.8,1983-09-01
860.8,1983-10-01
781.7,1983-11-01
751.7,1983-12-01
778.5,1984-01-01
841.4,1984-02-01
963.9,1984-03-01
895.6,1984-04-01
1047.0,1984-05-01
952.4,1984-06-01
889.8,1984-07-01
814.9,1984-08-01
743.5,1984-09-01
901.5,1984-10-01
802.4,1984-11-01
759.3,1984-12-01
829.9,1985-01-01
833.4,1985-02-01
965.0,1985-03-01
983.3,1985-04-01
1068.5,1985-05-01
920.2,1985-06-01
892.4,1985-07-01
995.4,1985-08-01
1064.3,1985-09-01
859.1,1985-10-01
758.4,1985-11-01
808.5,1985-12-01
866.8,1986-01-01
829.7,1986-02-01
893.8,1986-03-01
969.3,1986-04-01
1068.5,1986-05-01
997.8,1986-06-01
949.7,1986-07-01
949.0,1986-08-01
1213.1,1986-09-01
902.1,1986-10-01
778.5,1986-11-01
987.4,1986-12-01
621.8,1987-01-01
774.4,1987-02-01
927.0,1987-03-01
931.3,1987-04-01
861.2,1987-05-01
935.1,1987-06-01
905.7,1987-07-01
959.2,1987-08-01
896.9,1987-09-01
794.5,1987-10-01
729.2,1987-11-01
834.6,1987-12-01
757.2,1988-01-01
880.5,1988-02-01
998.5,1988-03-01
895.1,1988-04-01
966.9,1988-05-01
1002.6,1988-06-01
856.0,1988-07-01
878.7,1988-08-01
822.3,1988-09-01
829.0,1988-10-01
786.8,1988-11-01
872.0,1988-12-01
711.9,1989-01-01
745.6,1989-02-01
879.2,1989-03-01
904.6,1989-04-01
963.8,1989-05-01
888.8,1989-06-01
837.1,1989-07-01
963.5,1989-08-01
829.9,1989-09-01
739.2,1989-10-01
672.3,1989-11-01
640.9,1989-12-01
743.3,1990-01-01
716.5,1990-02-01
850.3,1990-03-01
802.1,1990-04-01
872.4,1990-05-01
857.3,1990-06-01
803.2,1990-07-01
786.0,1990-08-01
769.0,1990-09-01
787.8,1990-10-01
661.2,1990-11-01
651.1,1990-12-01
554.6,1991-01-01
621.5,1991-02-01
730.3,1991-03-01
690.7,1991-04-01
769.5,1991-05-01
771.7,1991-06-01
773.2,1991-07-01
690.4,1991-08-01
671.4,1991-09-01
702.0,1991-10-01
606.5,1991-11-01
593.2,1991-12-01
560.5,1992-01-01
651.1,1992-02-01
720.4,1992-03-01
715.8,1992-04-01
733.7,1992-05-01
824.8,1992-06-01
733.6,1992-07-01
644.8,1992-08-01
673.7,1992-09-01
694.5,1992-10-01
601.0,1992-11-01
660.5,1992-12-01
562.2,1993-01-01
593.4,1993-02-01
735.1,1993-03-01
768.7,1993-04-01
812.1,1993-05-01
835.6,1993-06-01
763.5,1993-07-01
697.1,1993-08-01
704.0,1993-09-01
717.3,1993-10-01
667.6,1993-11-01
661.1,1993-12-01
606.1,1994-01-01
698.6,1994-02-01
876.2,1994-03-01
785.8,1994-04-01
814.5,1994-05-01
871.4,1994-06-01
713.2,1994-07-01
782.3,1994-08-01
741.8,1994-09-01
738.0,1994-10-01
670.7,1994-11-01
691.8,1994-12-01
581.5,1995-01-01
649.1,1995-02-01
798.7,1995-03-01
685.9,1995-04-01
825.2,1995-05-01
852.8,1995-06-01
721.3,1995-07-01
806.4,1995-08-01
714.9,1995-09-01
701.6,1995-10-01
644.5,1995-11-01
654.3,1995-12-01
567.0,1996-01-01
690.6,1996-02-01
792.9,1996-03-01
760.9,1996-04-01
871.1,1996-05-01
792.4,1996-06-01
732.4,1996-07-01
749.9,1996-08-01
696.6,1996-09-01
677.9,1996-10-01
590.4,1996-11-01
604.7,1996-12-01
612.1,1997-01-01
648.1,1997-02-01
766.2,1997-03-01
698.7,1997-04-01
771.4,1997-05-01
740.1,1997-06-01
739.6,1997-07-01
740.4,1997-08-01
669.0,1997-09-01
665.3,1997-10-01
563.8,1997-11-01
657.8,1997-12-01
525.9,1998-01-01
615.3,1998-02-01
724.1,1998-03-01
710.9,1998-04-01
793.1,1998-05-01
818.7,1998-06-01
635.8,1998-07-01
675.2,1998-08-01
684.8,1998-09-01
712.4,1998-10-01
562.1,1998-11-01
683.8,1998-12-01
546.0,1999-01-01
670.6,1999-02-01
788.0,1999-03-01
736.7,1999-04-01
830.1,1999-05-01
831.6,1999-06-01
771.0,1999-07-01
798.7,1999-08-01
715.9,1999-09-01
688.5,1999-10-01
639.4,1999-11-01
680.0,1999-12-01
621.8,2000-01-01
769.0,2000-02-01
836.0,2000-03-01
774.7,2000-04-01
833.8,2000-05-01
841.2,2000-06-01
744.2,2000-07-01
806.1,2000-08-01
747.9,2000-09-01
665.4,2000-10-01
601.3,2000-11-01
610.7,2000-12-01
591.7,2001-01-01
701.3,2001-02-01
789.3,2001-03-01
689.7,2001-04-01
814.6,2001-05-01
811.1,2001-06-01
666.8,2001-07-01
726.6,2001-08-01
640.2,2001-09-01
813.4,2001-10-01
603.0,2001-11-01
574.4,2001-12-01
526.0,2002-01-01
624.8,2002-02-01
742.4,2002-03-01
717.6,2002-04-01
758.4,2002-05-01
761.3,2002-06-01
740.7,2002-07-01
829.7,2002-08-01
602.1,2002-09-01
604.7,2002-10-01
570.6,2002-11-01
624.9,2002-12-01
543.5,2003-01-01
579.6,2003-02-01
692.2,2003-03-01
653.0,2003-04-01
726.9,2003-05-01
688.6,2003-06-01
680.1,2003-07-01
738.1,2003-08-01
596.0,2003-09-01
573.8,2003-10-01
557.7,2003-11-01
581.0,2003-12-01
495.5,2004-01-01
582.2,2004-02-01
693.4,2004-03-01
644.0,2004-04-01
745.2,2004-05-01
674.3,2004-06-01
687.2,2004-07-01
641.4,2004-08-01
610.9,2004-09-01
589.6,2004-10-01
523.0,2004-11-01
658.4,2004-12-01
491.3,2005-01-01
576.7,2005-02-01
724.4,2005-03-01
719.9,2005-04-01
695.1,2005-05-01
710.7,2005-06-01
716.5,2005-07-01
702.4,2005-08-01
649.6,2005-09-01
565.6,2005-10-01
544.7,2005-11-01
622.9,2005-12-01
562.0,2006-01-01
573.5,2006-02-01
696.1,2006-03-01
715.7,2006-04-01
734.8,2006-05-01
719.1,2006-06-01
717.4,2006-07-01
724.9,2006-08-01
639.0,2006-09-01
549.0,2006-10-01
538.6,2006-11-01
650.6,2006-12-01
510.3,2007-01-01
564.9,2007-02-01
723.9,2007-03-01
626.8,2007-04-01
781.3,2007-05-01
721.8,2007-06-01
621.8,2007-07-01
683.5,2007-08-01
616.3,2007-09-01
564.4,2007-10-01
568.8,2007-11-01
634.6,2007-12-01
499.2,2008-01-01
559.3,2008-02-01
683.8,2008-03-01
661.0,2008-04-01
799.0,2008-05-01
664.4,2008-06-01
622.6,2008-07-01
631.2,2008-08-01
481.0,2008-09-01
429.5,2008-10-01
359.8,2008-11-01
422.7,2008-12-01
315.2,2009-01-01
340.8,2009-02-01
445.6,2009-03-01
429.7,2009-04-01
484.1,2009-05-01
456.2,2009-06-01
550.3,2009-07-01
721.5,2009-08-01
398.2,2009-09-01
427.3,2009-10-01
374.7,2009-11-01
512.6,2009-12-01
361.7,2010-01-01
399.2,2010-02-01
541.0,2010-03-01
501.3,2010-04-01
562.8,2010-05-01
500.0,2010-06-01
524.0,2010-07-01
498.8,2010-08-01
471.4,2010-09-01
445.0,2010-10-01
403.5,2010-11-01
519.8,2010-12-01
387.6,2011-01-01
490.5,2011-02-01
652.8,2011-03-01
608.1,2011-04-01
543.5,2011-05-01
524.4,2011-06-01
504.0,2011-07-01
505.7,2011-08-01
483.1,2011-09-01
477.3,2011-10-01
459.8,2011-11-01
557.1,2011-12-01
465.1,2012-01-01
